2025-01-20 23:56:52,483 - n: 132 epoch: 630 AUC: 0.8980079048106024 AUPR: 0.915181143368631 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.001, 'lambda_2': 0.001, 'lr': 0.0001, 'svd_q': 7, 'temp': 3}
2025-01-21 00:18:17,286 - n: 189 epoch: 440 AUC: 0.8972754660659749 AUPR: 0.9111537353687359 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.01, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 5, 'temp': 7}
2025-01-21 00:45:55,656 - n: 282 epoch: 645 AUC: 0.9004159699285528 AUPR: 0.9148311680923529 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.1, 'lambda_2': 0.001, 'lr': 0.0001, 'svd_q': 3, 'temp': 3}
2025-01-21 02:52:18,327 - n: 670 epoch: 405 AUC: 0.9046585868078109 AUPR: 0.9169350617866197 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 4, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 5, 'temp': 9}
2025-01-22 15:55:54,784 - n: 6432 epoch: 670 AUC: 0.9059749036082972 AUPR: 0.9181632539878251 params: {'batch_user': 128, 'd': 64, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 7, 'temp': 3}
2025-01-22 15:58:21,265 - n: 6520 epoch: 555 AUC: 0.9056535979325882 AUPR: 0.9193464075448107 params: {'batch_user': 128, 'd': 64, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 9, 'temp': 9}
2025-01-22 21:59:07,744 - n: 7525 epoch: 190 AUC: 0.9028654938433686 AUPR: 0.9270138727492069 params: {'batch_user': 128, 'd': 64, 'dropout': 0.0, 'epoch_no': 700, 'l': 5, 'lambda_1': 0.01, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 3, 'temp': 9}
2025-01-24 09:10:04,834 - n: 12837 epoch: 295 AUC: 0.9074155967993809 AUPR: 0.921807991260673 params: {'batch_user': 128, 'd': 128, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 9, 'temp': 3}
2025-01-24 09:11:03,341 - n: 12903 epoch: 630 AUC: 0.9067591658490071 AUPR: 0.914909393531936 params: {'batch_user': 128, 'd': 128, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 3, 'temp': 5}
2025-01-24 11:16:16,066 - n: 13289 epoch: 135 AUC: 0.9044720222219153 AUPR: 0.9201373457144529 params: {'batch_user': 128, 'd': 128, 'dropout': 0.0, 'epoch_no': 700, 'l': 3, 'lambda_1': 0.01, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 5, 'temp': 7}
2025-01-24 11:25:58,397 - n: 13317 epoch: 450 AUC: 0.9056190489351998 AUPR: 0.9230292302525568 params: {'batch_user': 128, 'd': 128, 'dropout': 0.0, 'epoch_no': 700, 'l': 3, 'lambda_1': 0.01, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 9, 'temp': 3}
2025-01-24 16:31:20,720 - n: 14085 epoch: 235 AUC: 0.909954948107406 AUPR: 0.9204958608188425 params: {'batch_user': 128, 'd': 128, 'dropout': 0.1, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 3, 'temp': 9}
2025-01-25 04:44:53,908 - n: 16117 epoch: 430 AUC: 0.9056259587346774 AUPR: 0.9271889403574938 params: {'batch_user': 128, 'd': 128, 'dropout': 0.2, 'epoch_no': 700, 'l': 4, 'lambda_1': 0.001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 9, 'temp': 3}
2025-01-26 15:24:42,574 - n: 21222 epoch: 685 AUC: 0.9094263484473679 AUPR: 0.9231240288798083 params: {'batch_user': 128, 'd': 256, 'dropout': 0.1, 'epoch_no': 700, 'l': 4, 'lambda_1': 0.001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 3, 'temp': 3}
2025-01-31 14:57:52,918 - n: 39558 epoch: 405 AUC: 0.911043241525131 AUPR: 0.9306960928466856 params: {'batch_user': 256, 'd': 128, 'dropout': 0.0, 'epoch_no': 700, 'l': 5, 'lambda_1': 0.01, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 9, 'temp': 5}
2025-02-01 23:12:53,376 - n: 44985 epoch: 585 AUC: 0.9112885394065865 AUPR: 0.9244421787549202 params: {'batch_user': 256, 'd': 256, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.01, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 3, 'temp': 9}
2025-02-02 22:14:55,527 - n: 48140 epoch: 495 AUC: 0.9062927543842677 AUPR: 0.9276017591929782 params: {'batch_user': 256, 'd': 256, 'dropout': 0.2, 'epoch_no': 700, 'l': 4, 'lambda_1': 0.001, 'lambda_2': 0.001, 'lr': 0.0001, 'svd_q': 9, 'temp': 9}
